packet_size,protocol_type,burst_rate,flow_duration,source_port,dest_port,byte_count,retransmission_rate,jitter,latency,priority_class
798,3,1692,27.56,7701,8080,5398692,2.77,22.09,51.16,1
1237,5,95,138.03,25476,25,2116167,5.34,28.12,135.27,2
1127,3,35,100.08,58323,443,23907434,5.55,35.53,344.04,3
821,3,601,141.61,33484,53,4353560,6.98,44.19,185.56,2
942,4,1282,52.8,27776,3389,4087770,2.58,9.67,68.84,1
882,4,737,22.17,46509,5900,4304676,2.08,10.42,50.99,1
1115,3,121,115.03,18054,69,33712068,2.41,99.31,260.53,3
1099,4,181,59.35,24171,587,3362223,6.72,11.34,151.32,2
815,4,537,105.23,40352,443,482320,7.78,39.3,172.9,2
1488,3,251,142.31,59092,22,4505014,10.63,31.03,417.82,3
273,0,4728,28.94,16504,5061,47531,1.55,6.77,18.82,0
1003,0,24,285.58,22598,22,19605095,11.01,56.06,194.38,3
885,0,455,53.36,20976,80,8988208,3.89,14.14,60.84,1
251,1,1999,13.35,26548,5060,455485,0.47,2.34,16.98,0
1293,3,207,87.64,20972,443,17111342,12.74,44.18,111.12,3
725,5,570,45.6,1276,25,3748604,1.36,36.75,126.17,2
1340,3,540,1.6,32213,110,2167181,4.76,32.9,198.94,2
288,4,96,69.29,54000,110,2206251,2.34,18.62,168.89,2
521,0,541,48.45,15013,25,3927799,3.06,45.21,88.46,2
171,1,3721,21.11,29724,5004,352193,0.17,6.11,26.55,0
324,0,805,23.86,58588,80,478803,4.45,19.77,72.58,1
272,1,2460,26.33,32267,5061,492024,1.9,5.18,3.72,0
1191,0,549,52.74,18700,5900,7373668,3.56,21.07,70.28,1
729,0,529,110.25,8789,80,7539453,1.2,26.74,17.67,1
1165,3,196,91.41,46134,587,1457796,7.09,47.48,63.51,2
814,0,157,191.96,45593,8443,35351643,6.51,72.65,182.13,3
233,1,2173,19.08,24690,5004,30345,1.04,6.12,8.12,0
1166,4,460,102.44,21006,3389,9748665,3.27,23.92,29.06,1
127,1,2225,2.44,23906,5004,407879,0.04,2.13,15.13,0
326,0,505,43.3,64158,5900,4288324,2.78,17.34,14.72,1
970,4,325,99.55,37219,110,1981919,4.26,23.33,168.45,2
1199,0,1565,9.51,61860,3389,3119338,3.54,14.68,78.5,1
936,3,176,75.09,12684,8443,13290225,9.95,74.21,448.35,3
1214,3,766,86.55,53368,53,4453352,7.53,33.45,197.84,2
989,4,124,101.7,57679,587,2113934,5.02,47.6,163.66,2
555,0,502,19.33,40112,110,4505411,2.01,45.63,42.38,2
171,1,3504,21.45,27915,5060,200919,0.59,7.21,28.67,0
911,5,170,104.66,33745,110,1529606,5.72,49.29,64.54,2
1185,0,25,266.01,38025,443,17652880,12.88,29.37,420.37,3
921,3,1671,95.44,42310,443,5541985,4.12,22.66,65.69,1
889,3,21,68.15,50207,69,11248571,11.74,51.65,174.64,3
115,1,1396,13.79,21031,5060,339030,1.15,1.47,20.97,0
1428,3,144,139.99,13685,443,47774045,13.07,63.3,431.85,3
1217,3,156,242.41,54519,443,43663370,14.24,21.86,183.78,3
1195,3,99,93.63,40010,443,2198740,7.4,22.04,48.54,2
662,3,879,34.84,27694,8080,9069117,3.81,9.1,34.1,1
1061,0,254,32.21,46781,443,15314763,7.72,26.25,477.72,3
69,1,2175,18.98,25877,4000,465534,0.91,1.58,27.97,0
647,0,936,7.37,63734,80,2852312,1.7,14.89,61.2,1
1276,0,194,249.03,13390,69,36959530,7.51,42.97,487.1,3
900,5,658,12.71,45713,587,4702848,4.97,35.41,56.77,2
1377,3,273,111.63,39100,443,2618932,1.75,31.71,141.59,2
1278,3,519,16.28,51649,110,284088,2.99,40.89,21.6,2
1343,5,742,169.85,8978,443,2575068,4.16,20.93,135.26,2
868,3,517,82.79,20534,53,4738115,2.51,47.97,186.33,2
224,5,50,143.17,36318,53,4713810,7.47,35.43,95.72,2
1033,5,75,48.96,33117,110,4649487,4.32,20.8,139.46,2
933,0,1065,39.54,43392,3389,361496,3.88,28.44,50.35,1
1481,0,115,134.33,53167,21,3083056,2.78,64.03,476.81,3
1154,0,1327,49.51,13611,3389,2749511,2.13,5.42,46.55,1
1099,4,762,23.23,48931,443,8534979,3.45,16.67,42.87,1
1035,4,1600,86.5,58964,5900,1619346,2.3,15.13,16.87,1
728,5,489,35.28,42422,53,3977309,6.85,49.53,21.9,2
1302,3,107,205.02,27969,21,14985117,2.33,93.24,484.05,3
299,4,403,4.87,19491,443,4342663,5.76,48.53,82.8,2
1108,5,204,87.44,14032,25,647098,2.83,31.87,71.88,2
176,1,753,6.18,22547,5004,301176,1.32,5.27,1.68,0
990,0,276,40.52,10686,22,4288286,8.54,56.37,150.22,3
918,3,98,62.2,44481,443,48523407,10.77,33.61,302.96,3
74,1,3030,0.68,26173,5060,219760,0.34,4.32,6.43,0
273,3,167,68.59,31033,80,2960693,5.84,43.33,159.16,2
242,0,1829,17.74,23325,4000,417602,0.18,7.29,16.88,0
1214,0,185,52.52,37222,443,16178988,11.85,77.41,178.95,3
1131,3,733,80.76,23209,443,3006943,2.12,13.36,32.71,1
951,3,94,258.45,6942,69,16532661,10.84,60.98,141.77,3
791,3,1569,101.29,32700,80,2565860,4.57,27.68,58.88,1
783,3,699,79.83,50915,80,4771026,6.92,38.96,67.14,2
982,0,50,179.62,6706,21,42325369,9.01,29.46,444.28,3
228,1,4982,0.14,32436,4000,6913,1.72,1.63,14.09,0
774,4,1978,109.79,38662,3389,6713935,4.65,27.2,67.63,1
1366,3,227,123.41,20914,80,2278173,4.65,31.15,30.26,2
1164,4,313,17.41,11089,53,3554382,1.79,36.04,97.43,2
863,0,134,162.59,59129,8443,46035661,2.92,72.39,257.5,3
1134,3,1769,63.48,11260,80,4526663,3.98,29.36,28.98,1
889,3,176,49.78,22119,22,48338699,5.76,97.63,418.31,3
607,1,650,74.38,3463,5900,1065098,2.51,13.66,68.51,1
1351,4,467,153.53,64876,80,2144481,2.14,14.88,171.1,2
899,5,592,95.62,25273,25,860148,2.71,10.47,176.96,2
1082,3,1030,80.39,61115,8080,1374887,1.68,20.42,50.88,1
120,1,2982,8.5,24769,5004,496239,1.75,3.96,16.71,0
936,3,711,29.85,53667,587,1976539,3.43,49.77,84.35,2
1057,0,797,117.9,24133,443,2033231,6.51,27.89,154.99,2
823,5,436,23.87,10535,80,3234888,2.25,11.75,163.39,2
267,0,348,140.13,46008,53,4551744,4.96,43.66,64.5,2
1154,0,1503,116.03,11822,3389,1862994,1.78,10.27,13.97,1
408,1,490,115.85,47905,80,2729115,1.03,14.25,31.54,1
233,1,1732,2.39,27234,5060,456887,0.73,8.08,10.52,0
127,1,1697,18.56,27086,5060,200695,0.74,3.7,28.82,0
238,0,674,93.1,37502,80,1759781,7.55,39.13,74.28,2
937,0,38,262.29,38066,22,1974346,6.51,74.15,477.12,3
608,0,768,14.67,25359,443,9196460,3.44,8.65,22.97,1
683,5,225,155.17,33878,53,2726387,1.09,39.24,65.01,2
248,1,2934,18.71,27091,4000,488492,0.91,7.56,4.84,0
1009,0,153,49.27,17032,25,4737640,2.13,23.77,97.12,2
565,4,61,105.21,26336,110,112764,2.28,15.56,71.72,2
909,0,70,116.93,52464,443,8844561,4.08,78.09,425.72,3
1287,0,366,105.64,13593,587,1580353,3.33,49.15,68.88,2
346,3,200,165.28,11787,53,4636586,3.08,28.06,134.06,2
1336,0,211,72.87,33725,8443,22643744,14.89,45.6,66.36,3
1182,3,23,151.65,24568,69,15580243,11.87,33.61,152.12,3
856,3,237,46.89,42837,443,11416588,10.21,26.13,347.16,3
822,0,653,9.37,46613,443,2886383,6.01,48.86,75.87,2
271,1,1686,6.45,28340,5004,278785,1.43,8.58,11.35,0
489,4,1933,65.64,19279,443,7364376,2.75,17.24,41.93,1
1303,4,203,58.57,18757,25,1708750,1.9,32.83,196.6,2
461,1,1312,16.92,55457,443,6544067,0.53,25.34,34.53,1
1217,0,150,195.56,41249,22,12592582,9.55,27.53,445.4,3
290,4,606,19.73,31832,110,792725,6.97,48.91,155.56,2
228,1,1240,23.15,18384,5004,281064,0.12,3.12,5.57,0
1012,3,116,153.26,26437,110,2479324,4.33,40.26,165.58,2
1164,0,203,58.38,23096,443,47154610,4.91,31.09,415.48,3
208,4,383,135.87,58760,587,2249472,7.15,29.0,51.18,2
994,0,562,96.88,50673,80,2894636,1.69,21.53,52.56,1
756,4,553,52.76,30468,443,3563365,2.85,15.24,181.27,2
510,1,546,101.07,9592,443,8085972,2.28,26.0,54.34,1
69,1,3403,20.95,30999,5061,133385,2.0,0.12,19.52,0
1204,0,750,165.59,28960,80,13369,7.47,10.1,164.68,2
1283,3,259,253.57,33504,69,36544537,3.76,74.37,447.8,3
711,1,1379,84.6,29322,5900,3073157,4.63,26.61,79.62,1
65,1,4877,25.54,29899,5004,254078,1.16,7.69,12.79,0
281,5,242,93.82,57532,53,3597023,1.52,29.56,48.47,2
482,3,1028,6.09,17171,80,5494495,3.19,9.23,58.52,1
1292,5,173,92.26,29194,110,2069986,2.42,21.03,20.5,2
1119,0,56,210.64,4559,69,13528982,3.85,44.18,255.94,3
135,1,1904,20.79,26513,4000,198118,0.27,6.75,1.13,0
1059,3,888,84.94,62637,8080,910713,3.4,10.54,20.05,1
1100,0,518,28.72,58427,80,277390,2.82,21.73,64.41,1
121,1,2117,0.62,23786,5061,132458,0.49,7.32,13.17,0
290,3,64,44.68,45046,80,1050925,1.23,35.38,98.0,2
672,0,1081,27.77,13137,8080,1425562,4.67,9.28,69.41,1
1037,0,170,284.57,4291,21,44815922,3.28,73.79,198.58,3
796,4,226,175.05,32642,110,286679,1.17,31.23,148.14,2
1138,4,324,175.44,60532,110,3612044,7.87,18.79,139.86,2
245,3,787,173.87,32235,80,792482,1.54,30.4,140.46,2
1285,0,206,96.23,65195,8443,37622352,7.61,87.52,307.67,3
494,0,446,63.15,52218,3389,1376828,3.5,28.25,58.11,1
242,4,284,88.5,26494,53,633123,1.09,16.38,25.5,2
114,1,569,18.46,30077,4000,428991,0.95,7.85,22.75,0
355,4,1575,115.32,12557,3389,6816028,4.46,27.42,71.02,1
532,3,679,164.89,64421,80,552960,3.24,14.94,90.77,2
1141,0,1618,108.96,32212,443,1446808,3.39,14.86,42.77,1
1316,3,214,68.14,61041,69,46263897,3.12,83.7,445.72,3
1135,3,95,34.21,17328,21,43541937,6.09,70.7,353.48,3
945,0,1611,97.82,55620,443,662631,3.93,23.24,67.41,1
414,4,331,6.14,22033,25,4361076,3.0,15.61,44.73,2
332,5,317,75.63,12242,443,4724563,7.76,32.87,134.34,2
1337,0,166,44.35,12739,21,1596336,6.96,67.33,391.68,3
542,3,261,28.64,51903,80,4318856,1.43,20.18,61.25,1
959,0,239,87.88,46577,443,36023053,2.61,60.75,368.51,3
846,3,110,145.01,61218,21,40028338,11.63,61.78,476.02,3
820,0,98,153.36,23824,22,3052992,6.01,78.96,85.01,3
226,4,208,25.13,51945,587,384318,7.55,27.94,199.08,2
89,1,3494,12.34,23761,5060,27467,0.06,1.86,29.61,0
1246,3,293,220.28,18547,21,7657323,8.07,58.42,379.42,3
381,4,575,166.39,1442,80,3757575,5.76,47.05,126.78,2
707,5,527,157.94,60127,443,4370921,6.72,14.56,173.74,2
412,3,658,115.14,47460,3389,5915263,2.59,21.2,10.85,1
836,4,1273,7.81,31472,80,893287,1.05,12.04,13.74,1
770,4,267,170.59,62030,53,1325673,4.74,32.06,48.25,2
364,5,97,13.81,7815,25,3552212,7.81,38.37,86.64,2
1146,5,588,140.46,20795,443,1597163,2.83,11.32,95.26,2
583,0,216,24.18,22926,3389,2560766,3.93,6.53,79.82,1
1169,3,1771,89.59,11434,443,4832166,4.37,15.46,25.23,1
562,4,1163,83.37,6156,5900,4090176,3.21,19.13,20.45,1
1241,3,160,226.81,37785,8443,46502625,13.68,95.34,138.07,3
173,1,1817,19.05,20767,5061,297505,1.89,3.49,13.77,0
898,3,19,175.06,40214,443,22041067,4.87,38.76,372.7,3
873,3,795,137.86,9039,53,2624248,5.4,28.09,189.8,2
691,0,335,99.31,24982,110,3985153,4.53,47.15,57.48,2
1233,0,698,77.79,8623,443,3928368,3.01,17.66,140.81,2
467,4,63,52.32,16349,443,3394484,4.11,47.87,48.61,2
204,1,1882,29.42,30794,5061,338766,1.25,4.77,28.83,0
951,1,1345,105.22,33425,5900,3164582,1.92,7.99,31.71,1
879,4,373,69.38,44995,443,1367892,1.33,29.18,102.55,2
1326,0,232,201.69,34454,69,31189063,2.03,91.06,441.39,3
662,3,967,103.17,32784,80,5431954,0.57,9.21,18.27,1
858,4,581,29.71,54200,8080,5139522,0.72,18.6,46.05,1
580,4,1306,10.53,60085,443,3641197,4.47,29.74,66.57,1
1077,3,143,13.33,62497,80,1204609,6.89,20.39,137.52,2
361,4,207,58.93,50909,80,3341500,7.94,38.67,37.71,2
748,3,703,156.89,60353,80,3492500,3.11,14.73,173.57,2
1278,0,122,295.46,10889,22,24195163,12.11,23.06,464.62,3
105,1,4726,2.43,20587,5004,207258,0.54,5.94,11.47,0
97,1,2974,20.53,22641,5061,213112,1.66,8.66,23.29,0
1247,0,28,160.34,47571,8443,42572212,13.58,54.03,61.48,3
1406,0,167,35.2,39506,21,40451492,10.6,91.63,103.25,3
959,0,778,5.47,27551,443,531633,5.7,22.99,190.76,2
1401,0,13,213.72,2905,22,32763740,9.41,45.41,473.63,3
730,3,162,54.98,40498,25,4937333,4.93,35.73,43.96,2
220,1,1638,22.75,32293,4000,78338,1.55,1.38,14.16,0
1071,0,267,182.31,12637,69,41887652,11.32,65.13,252.42,3
755,3,1761,13.93,61332,3389,7936606,1.98,14.77,61.86,1
992,0,49,132.06,4260,21,30612620,5.71,33.52,159.16,3
900,0,231,78.35,13979,69,3703100,5.9,60.27,496.51,3
939,0,63,102.13,54053,21,42477467,8.57,65.64,81.77,3
1045,0,1441,85.72,55514,443,5395986,0.93,14.57,76.1,1
1049,3,196,274.87,25544,21,15481599,9.43,59.05,344.69,3
493,4,215,62.3,2000,110,4649252,4.43,25.86,124.0,2
1068,0,510,29.89,30676,80,5933110,2.23,8.58,44.42,1
442,3,530,11.83,57909,25,93183,7.49,20.14,112.48,2
1316,3,245,208.0,23851,69,31298308,2.67,81.8,351.04,3
340,3,684,68.16,29399,587,4715981,7.35,37.33,88.4,2
902,4,583,33.71,51141,443,6998148,4.95,17.1,42.77,1
1377,3,41,152.14,49816,443,30908841,4.39,83.25,370.11,3
371,0,1227,80.45,50064,443,1717797,3.46,14.1,59.17,1
1263,3,256,69.78,38974,443,32673338,13.95,82.92,443.77,3
480,1,964,36.26,11582,8080,815483,1.45,25.81,38.94,1
993,3,754,27.78,59048,443,5631231,2.22,17.05,68.53,1
260,1,2188,3.02,30793,5004,68173,0.85,5.31,11.48,0
1014,4,1183,9.45,44663,80,7692649,1.65,7.37,37.19,1
1046,3,77,93.15,25378,25,4940944,2.48,36.26,40.52,2
1174,3,255,85.84,5176,443,10534128,12.84,98.79,226.36,3
813,3,121,100.44,44254,21,38184203,5.59,26.28,345.47,3
1112,4,87,101.29,17619,443,2968081,6.58,18.43,121.3,2
1094,4,257,88.08,1162,587,1962172,3.39,49.44,127.02,2
886,4,53,43.86,30679,80,4703893,7.63,27.13,116.02,2
1094,0,242,158.52,61001,69,9217590,8.18,62.46,78.49,3
876,0,1594,55.2,45017,8080,7912283,3.77,14.44,60.24,1
936,0,272,205.9,34222,22,34108286,12.78,43.06,55.3,3
980,3,55,257.28,27976,21,29919555,2.33,75.77,304.69,3
973,3,1115,16.55,54118,3389,3172687,1.63,28.52,45.79,1
515,0,855,99.97,15352,8080,7828402,4.59,25.92,56.55,1
279,1,3434,18.41,23991,5061,307450,0.67,7.34,13.18,0
600,3,297,133.12,29324,443,240254,2.94,20.8,187.22,2
282,1,595,22.99,18753,5004,229629,0.33,3.58,8.68,0
827,0,335,10.26,29949,443,8807069,3.84,16.91,13.5,1
961,3,370,71.98,56445,80,4815368,7.18,31.28,98.6,2
1334,3,110,34.36,5379,69,33802452,7.79,42.06,467.69,3
256,5,132,65.64,19797,587,1792817,6.03,13.41,132.41,2
1007,3,664,135.65,40033,80,4758332,2.35,45.71,94.81,2
957,4,737,123.37,2997,53,4743052,4.22,25.04,169.25,2
1190,0,244,199.6,42849,22,49400741,7.7,30.49,340.75,3
916,0,80,71.43,53610,8443,48477810,7.1,20.68,477.19,3
1186,4,1430,48.26,14341,8080,300073,1.16,18.78,20.13,1
1188,3,242,8.45,63382,110,4879098,3.78,31.71,67.72,2
108,1,1678,6.35,20842,5004,377794,0.32,0.33,22.93,0
1137,0,17,104.33,1916,8443,14754282,4.8,86.69,81.24,3
650,3,565,83.49,61818,587,531819,7.92,19.25,91.19,2
449,3,416,45.93,48988,8080,3561423,1.01,12.47,29.28,1
1279,4,751,73.28,63979,25,3330920,4.27,20.53,32.75,2
312,4,331,176.73,23468,53,3549863,1.46,31.03,43.33,2
1191,3,1349,14.3,12418,5900,9183063,4.59,13.07,77.74,1
249,4,85,70.95,60846,80,2628031,6.45,33.01,97.54,2
872,0,581,101.32,25771,5900,5962494,1.07,20.23,52.5,1
209,1,4139,11.12,18489,5061,415927,2.0,9.9,22.59,0
481,3,549,58.39,12587,110,1279764,6.36,31.61,186.96,2
880,3,167,260.53,8396,21,13085276,5.98,30.6,196.41,3
1062,4,188,137.43,42399,80,3525857,1.71,40.47,37.75,2
93,1,1157,1.39,32628,5060,148878,1.46,8.26,5.25,0
1287,3,86,242.58,19458,22,45907446,11.31,85.74,355.89,3
1113,0,248,161.28,21737,69,3891913,6.61,88.86,329.62,3
276,0,491,162.94,31489,80,1472388,3.99,44.29,111.07,2
1322,0,82,113.04,16712,21,2857228,14.45,60.98,279.66,3
564,3,456,178.93,39670,80,1933980,6.51,35.36,37.36,2
95,1,3545,16.15,23378,5061,391069,0.25,1.02,18.09,0
1162,3,699,102.05,57297,443,4382549,3.66,45.65,181.14,2
1463,0,40,189.63,49095,69,40375018,11.45,60.98,483.07,3
1032,3,439,32.0,33574,25,2294700,3.58,42.08,50.1,2
1131,3,16,111.37,54106,22,47022608,5.05,64.75,464.22,3
258,3,455,134.83,29143,53,4224291,1.49,43.25,42.32,2
1382,0,55,232.02,14445,21,28969635,9.72,94.5,430.99,3
1134,3,397,161.83,55652,80,989227,1.88,20.65,100.83,2
1190,3,261,58.26,27974,21,43988438,8.85,48.12,344.55,3
1495,3,72,38.68,15561,443,11105090,13.05,55.92,261.92,3
1262,4,725,83.52,54727,587,2812338,4.92,43.96,149.6,2
1071,0,212,105.55,4009,21,12394950,10.64,49.74,216.13,3
190,1,4576,7.84,21939,5004,228436,1.74,4.78,21.67,0
748,0,1462,36.97,39202,8080,3367080,2.25,28.8,40.6,1
1497,0,50,77.75,50949,8443,33189947,4.3,52.61,63.4,3
930,0,20,281.51,6825,22,49956220,8.17,94.66,442.26,3
292,1,3901,21.61,21672,5060,228693,0.62,2.1,27.36,0
866,3,275,140.13,41728,21,26911174,4.93,28.5,50.97,3
224,1,1729,20.68,24851,5060,167129,1.93,0.15,28.6,0
1035,4,663,133.33,16968,53,788246,1.27,23.3,186.32,2
1040,3,194,162.2,17513,22,47063515,6.48,47.29,414.02,3
633,0,1086,88.77,16546,443,7011804,1.61,19.51,60.44,1
262,1,4167,20.98,23874,5004,239269,0.17,7.27,10.03,0
382,4,368,115.75,15656,587,1437546,5.16,14.86,128.33,2
1262,3,260,210.47,54168,8443,15547103,5.08,92.49,448.71,3
1062,3,31,209.04,33663,8443,8975948,11.83,45.56,226.04,3
579,4,1177,115.01,61412,5900,5153850,1.99,8.05,38.93,1
562,5,514,151.28,55804,110,3831321,7.52,10.82,31.21,2
1210,0,130,142.97,43390,443,37324569,4.34,87.7,300.27,3
964,0,124,108.38,51544,21,41255014,10.44,91.42,472.88,3
206,1,2692,27.0,29174,5061,412597,0.13,2.37,16.74,0
1359,4,593,28.46,13100,587,3073683,2.01,41.22,94.89,2
1120,0,234,278.16,13363,8443,17106855,6.37,29.54,483.69,3
1207,3,228,69.52,57286,443,25042919,13.23,21.35,88.16,3
1158,0,160,227.34,56900,8443,46752379,11.06,66.52,432.53,3
860,3,1038,28.51,18720,443,3689750,3.9,24.74,17.33,1
1174,0,618,85.82,17633,5900,5857250,3.35,18.48,20.54,1
70,1,3070,11.16,30696,4000,421268,0.24,5.89,29.11,0
785,3,941,79.01,38588,8080,440521,3.61,22.45,19.12,1
230,1,2335,1.03,20444,5061,366213,1.21,9.36,7.79,0
215,0,635,54.65,58307,110,1202077,2.35,46.08,135.08,2
258,0,438,1.36,61429,110,2321852,6.13,30.76,79.13,2
1230,4,395,153.62,47855,110,4263689,7.64,16.76,26.53,2
617,3,1070,109.88,53658,443,367709,2.0,28.84,14.8,1
1017,0,1476,118.84,6241,8080,7262950,2.96,11.97,70.38,1
249,3,411,74.67,24112,110,3044469,3.74,44.0,20.23,2
232,1,2656,9.23,30982,5060,410962,1.19,2.98,8.73,0
1077,0,289,203.51,7904,21,3963641,10.51,94.22,152.94,3
334,5,271,153.73,7151,587,3285874,2.04,44.78,31.87,2
1268,4,339,144.63,35050,53,3617320,2.05,32.17,191.75,2
1412,3,56,171.33,12450,22,14104400,3.33,76.5,373.47,3
605,0,1403,21.83,33357,3389,2441517,3.5,7.82,20.05,1
858,3,99,219.06,60344,8443,46603530,8.24,84.29,309.9,3
1102,0,118,38.43,39526,69,20833750,6.54,26.78,87.98,3
1258,3,264,114.37,39216,8443,18083073,12.76,64.58,435.76,3
986,3,138,79.48,51740,443,48312611,10.28,70.44,169.27,3
1187,0,41,135.58,31443,22,1751554,5.76,57.69,479.34,3
81,1,686,17.54,30981,5060,80211,0.63,2.55,21.23,0
802,3,1875,52.32,41245,80,3840108,1.06,28.71,16.29,1
747,0,754,53.84,40547,8080,4251741,1.07,10.6,17.43,1
275,0,554,3.88,13973,25,4008815,7.28,36.91,162.54,2
580,0,436,23.54,40958,5900,8816625,4.53,18.93,57.74,1
85,1,4278,28.53,31467,5004,361027,1.46,9.1,25.86,0
983,0,739,159.91,38486,25,3522486,3.25,24.47,136.7,2
66,1,4624,27.93,22624,5061,145825,0.15,2.31,12.83,0
1338,5,453,34.48,52452,110,1809352,3.27,29.19,189.99,2
507,3,147,141.24,30761,587,2262649,5.94,29.5,152.96,2
780,0,789,28.03,2889,8080,8931700,1.66,12.12,77.2,1
636,0,802,13.69,27056,8080,1255712,4.91,21.94,73.11,1
215,1,1773,21.79,22015,5004,44585,1.2,7.95,20.0,0
666,4,273,126.16,10694,53,2233409,2.7,19.73,162.51,2
1276,4,177,159.51,32387,53,3107427,2.22,30.33,102.73,2
859,0,1247,15.75,7082,443,3576923,3.6,24.86,41.8,1
1074,0,80,164.57,11357,22,43041374,2.37,72.65,119.39,3
1213,4,541,30.53,1438,80,2717975,2.14,39.34,136.32,2
718,4,825,98.86,60246,80,5870097,4.18,9.55,13.94,1
928,4,1552,93.96,17529,443,4433874,4.91,14.26,76.99,1
945,0,291,235.56,9852,8443,37791781,11.31,43.58,356.85,3
1443,0,119,225.69,10748,21,35962201,2.26,79.34,200.94,3
1451,0,75,146.22,46612,443,5573771,10.53,93.47,293.76,3
1265,3,735,155.21,14549,587,1155039,4.95,11.34,179.29,2
1163,4,712,66.8,54899,80,4052228,4.5,48.55,164.34,2
635,3,792,126.49,13120,443,4638502,6.72,15.08,95.58,2
635,1,484,58.45,39889,8080,2992735,2.41,8.85,78.35,1
414,3,629,114.79,18717,80,2554534,3.76,22.3,197.4,2
904,3,172,69.06,49621,110,1676761,1.39,48.24,111.76,2
963,3,46,205.83,49262,21,37011787,4.68,25.07,103.38,3
498,5,139,29.59,62551,587,2888294,4.59,32.19,125.51,2
1117,4,211,106.33,12472,80,2102427,3.34,20.64,161.98,2
482,5,317,60.44,8933,587,1003309,5.61,38.21,174.92,2
82,1,1072,11.74,21779,5004,216250,1.74,3.85,11.77,0
1271,4,642,97.03,44272,443,2905121,3.52,13.8,125.84,2
729,3,457,19.04,4102,587,3812980,7.12,45.24,154.1,2
1120,4,581,178.13,18851,587,3617700,4.6,18.55,53.85,2
111,1,665,0.61,17303,5061,446872,1.52,0.49,25.28,0
938,1,1856,112.27,58912,443,9690860,2.11,8.5,37.89,1
278,0,2354,9.41,22898,5004,457590,0.8,0.64,10.72,0
1262,3,51,220.91,31088,8443,48725117,10.67,34.74,65.37,3
545,0,923,112.35,64787,8080,2614228,3.15,27.24,13.89,1
869,1,1201,104.08,54574,3389,9912745,1.74,28.45,55.73,1
788,3,76,174.29,49019,53,4711931,7.73,21.27,71.22,2
438,5,147,3.62,41420,443,4312508,4.77,19.05,73.63,2
344,5,732,172.55,62071,587,2427651,1.72,34.76,150.96,2
1443,3,228,34.12,25623,8443,44346499,6.97,78.46,328.19,3
863,1,1096,107.97,44875,3389,8249719,1.16,11.31,42.14,1
1207,3,205,142.1,45114,21,16515049,8.79,44.8,492.94,3
1178,3,141,118.32,32092,22,45667720,13.69,43.54,207.18,3
1036,0,188,58.74,61330,110,3512747,4.2,44.51,55.76,2
880,3,25,62.93,16726,443,5366719,7.87,40.4,64.26,3
941,1,1336,115.19,55850,443,7923417,2.11,23.57,39.68,1
100,1,4365,22.62,28123,4000,482875,1.14,5.74,12.9,0
1422,0,122,53.15,29194,443,37732121,10.34,56.92,291.44,3
1019,4,1655,19.7,33420,3389,804990,4.93,15.84,44.0,1
872,3,1653,6.8,58178,3389,8710976,2.7,17.22,15.43,1
1286,3,159,187.11,58067,443,16581111,10.18,36.62,315.45,3
1095,3,382,57.45,19278,110,3504946,6.97,22.71,170.49,2
1076,3,287,244.4,6227,443,23502590,5.92,92.83,481.57,3
1139,3,136,250.46,41358,69,2005747,11.36,54.62,146.54,3
955,3,72,98.87,60906,443,9906572,3.75,81.36,134.97,3
787,3,248,128.03,55877,443,3540417,2.63,23.34,172.48,2
1149,0,67,96.4,23294,21,10219980,5.64,67.06,494.85,3
646,1,595,44.98,25102,8080,7886843,3.23,25.05,79.83,1
1015,0,314,23.33,23736,25,3903669,3.94,40.38,64.49,2
1232,4,188,51.45,40256,25,471809,3.25,40.75,110.19,2
1243,3,295,99.49,48211,8443,36788430,10.69,47.71,95.36,3
988,0,1221,21.94,56341,8080,8521651,4.99,20.28,65.05,1
787,5,325,97.84,4722,443,1921878,2.26,29.9,155.46,2
1439,0,97,98.86,51942,69,5300707,13.02,75.49,357.06,3
712,3,386,34.64,59851,8080,721014,3.46,25.54,65.47,1
310,0,599,44.1,33814,110,2939527,5.6,15.84,32.17,2
152,1,4390,5.89,30793,5060,489121,0.47,1.07,17.71,0
957,3,33,221.58,18187,8443,32733473,12.82,71.76,406.16,3
1012,0,607,110.97,10464,53,134801,5.42,44.4,165.18,2
1214,3,232,225.09,47435,22,42535602,12.85,65.77,402.89,3
682,3,521,113.98,18465,25,3417698,2.27,33.28,193.97,2
635,0,735,160.06,52617,443,3595608,4.04,36.14,24.16,2
980,0,146,64.28,9250,443,4231516,3.8,24.93,25.7,2
1251,0,152,95.24,32959,69,40018716,8.66,73.66,74.71,3
561,4,491,11.28,18482,80,2309842,5.91,24.51,158.62,2
1213,3,211,83.38,23881,22,36298160,9.4,52.24,295.45,3
76,1,2710,24.11,20143,5061,92472,0.1,3.92,5.59,0
1062,3,1891,11.39,14052,80,6334436,1.16,11.54,79.7,1
773,4,640,18.15,33736,110,3999064,1.71,11.04,158.67,2
894,0,948,91.56,32769,3389,3080822,3.44,16.88,36.44,1
1103,3,1486,66.5,61717,443,7514829,3.64,19.93,44.23,1
434,4,483,97.04,8251,8080,2537504,4.05,15.36,51.33,1
831,0,1954,30.33,13260,80,2495217,4.66,12.36,72.05,1
839,0,138,167.53,27839,21,8733008,7.0,63.66,477.95,3
543,3,90,129.9,10202,443,3395729,3.24,42.78,199.43,2
